,cate,cate_flag,price_9,price_8,price_7,price_6,price_5,price_4,price_3,price_2,price_1,amount_7,amount_6,amount_5,amount_4,amount_3,amount_2,amount_1,wt_7,wt_6,wt_5,wt_4,wt_3,wt_2,wt_1,date
937,冬瓜,14,7.646612313747539,5.202951322345727,8.645393068469991,11.785844471445929,5.979491173416406,6.0119422329198295,5.807969275084014,6.740366972477063,5.490198574338086,613.65,1551.9599999999996,690.9899999999999,649.41,483.92000000000013,587.76,431.31,70.98,131.68,115.56,108.02,83.32,87.2,78.56,2020-08-05
963,冬瓜,14,5.202951322345727,8.645393068469991,11.785844471445929,5.979491173416406,6.0119422329198295,5.807969275084014,6.740366972477063,5.490198574338086,7.368140773327161,1551.9599999999996,690.9899999999999,649.41,483.92000000000013,587.76,431.31,636.4600000000003,131.68,115.56,108.02,83.32,87.2,78.56,86.38,2020-08-06
989,冬瓜,14,8.645393068469991,11.785844471445929,5.979491173416406,6.0119422329198295,5.807969275084014,6.740366972477063,5.490198574338086,7.368140773327161,7.678361886881015,690.9899999999999,649.41,483.92000000000013,587.76,431.31,636.4600000000003,654.3500000000001,115.56,108.02,83.32,87.2,78.56,86.38,85.22,2020-08-07
1015,冬瓜,14,11.785844471445929,5.979491173416406,6.0119422329198295,5.807969275084014,6.740366972477063,5.490198574338086,7.368140773327161,7.678361886881015,5.760478503327936,649.41,483.92000000000013,587.76,431.31,636.4600000000003,654.3500000000001,640.4499999999998,108.02,83.32,87.2,78.56,86.38,85.22,111.18,2020-08-08
1041,冬瓜,14,5.979491173416406,6.0119422329198295,5.807969275084014,6.740366972477063,5.490198574338086,7.368140773327161,7.678361886881015,5.760478503327936,7.022960822093769,483.92000000000013,587.76,431.31,636.4600000000003,654.3500000000001,640.4499999999998,437.39,83.32,87.2,78.56,86.38,85.22,111.18,62.28,2020-08-09
1067,冬瓜,14,6.0119422329198295,5.807969275084014,6.740366972477063,5.490198574338086,7.368140773327161,7.678361886881015,5.760478503327936,7.022960822093769,6.716304577093438,587.76,431.31,636.4600000000003,654.3500000000001,640.4499999999998,437.39,636.8399999999998,87.2,78.56,86.38,85.22,111.18,62.28,94.82,2020-08-10
1093,冬瓜,14,5.807969275084014,6.740366972477063,5.490198574338086,7.368140773327161,7.678361886881015,5.760478503327936,7.022960822093769,6.716304577093438,7.032472939217321,431.31,636.4600000000003,654.3500000000001,640.4499999999998,437.39,636.8399999999998,675.6800000000002,78.56,86.38,85.22,111.18,62.28,94.82,96.08,2020-08-11
1119,冬瓜,14,6.740366972477063,5.490198574338086,7.368140773327161,7.678361886881015,5.760478503327936,7.022960822093769,6.716304577093438,7.032472939217321,6.00543269845328,636.4600000000003,654.3500000000001,640.4499999999998,437.39,636.8399999999998,675.6800000000002,939.6100000000004,86.38,85.22,111.18,62.28,94.82,96.08,156.46,2020-08-12
1145,冬瓜,14,5.490198574338086,7.368140773327161,7.678361886881015,5.760478503327936,7.022960822093769,6.716304577093438,7.032472939217321,6.00543269845328,5.265159970238095,654.3500000000001,640.4499999999998,437.39,636.8399999999998,675.6800000000002,939.6100000000004,566.11,85.22,111.18,62.28,94.82,96.08,156.46,107.52,2020-08-13
1171,冬瓜,14,7.368140773327161,7.678361886881015,5.760478503327936,7.022960822093769,6.716304577093438,7.032472939217321,6.00543269845328,5.265159970238095,6.903787268331988,640.4499999999998,437.39,636.8399999999998,675.6800000000002,939.6100000000004,566.11,856.7599999999999,111.18,62.28,94.82,96.08,156.46,107.52,124.1,2020-08-14
